Edad,Sexo,Valor,Tipo
88 años,Hombres,55971,espana_urbana
89 años,Hombres,45592,espana_urbana
90 años,Hombres,37328,espana_urbana
91 años,Hombres,29157,espana_urbana
92 años,Hombres,22880,espana_urbana
93 años,Hombres,16489,espana_urbana
94 años,Hombres,12366,espana_urbana
95 años,Hombres,8684,espana_urbana
96 años,Hombres,6118,espana_urbana
97 años,Hombres,4237,espana_urbana
98 años,Hombres,2692,espana_urbana
99 años,Hombres,1777,espana_urbana
100 y más años,Hombres,3431,espana_urbana
0 años,Mujeres,157483,nacional
1 año,Mujeres,174277,nacional
2 años,Mujeres,183049,nacional
3 años,Mujeres,195979,nacional
4 años,Mujeres,207518,nacional
5 años,Mujeres,213358,nacional
6 años,Mujeres,216189,nacional
7 años,Mujeres,214996,nacional
8 años,Mujeres,227261,nacional
9 años,Mujeres,233401,nacional
10 años,Mujeres,239300,nacional
11 años,Mujeres,242613,nacional
12 años,Mujeres,254262,nacional
13 años,Mujeres,245434,nacional
14 años,Mujeres,244710,nacional
15 años,Mujeres,240799,nacional
16 años,Mujeres,237862,nacional
17 años,Mujeres,235253,nacional
18 años,Mujeres,228123,nacional
19 años,Mujeres,230380,nacional
20 años,Mujeres,233104,nacional
21 años,Mujeres,231729,nacional
22 años,Mujeres,226587,nacional
23 años,Mujeres,234153,nacional
24 años,Mujeres,234626,nacional
25 años,Mujeres,237715,nacional
26 años,Mujeres,243141,nacional
27 años,Mujeres,252863,nacional
28 años,Mujeres,261476,nacional
29 años,Mujeres,260652,nacional
30 años,Mujeres,266348,nacional
31 años,Mujeres,271973,nacional
32 años,Mujeres,278081,nacional
33 años,Mujeres,282217,nacional
34 años,Mujeres,290425,nacional
35 años,Mujeres,299948,nacional
36 años,Mujeres,311245,nacional
37 años,Mujeres,321290,nacional
38 años,Mujeres,338689,nacional
39 años,Mujeres,351977,nacional
40 años,Mujeres,368269,nacional
41 años,Mujeres,378481,nacional
42 años,Mujeres,393378,nacional
43 años,Mujeres,396312,nacional
44 años,Mujeres,404222,nacional
45 años,Mujeres,399814,nacional
46 años,Mujeres,397907,nacional
47 años,Mujeres,387116,nacional
48 años,Mujeres,385974,nacional
49 años,Mujeres,379894,nacional
50 años,Mujeres,375224,nacional
51 años,Mujeres,371896,nacional
52 años,Mujeres,369625,nacional
53 años,Mujeres,372530,nacional
54 años,Mujeres,362957,nacional
55 años,Mujeres,361240,nacional
56 años,Mujeres,365851,nacional
57 años,Mujeres,347611,nacional
58 años,Mujeres,336572,nacional
59 años,Mujeres,328620,nacional
60 años,Mujeres,329515,nacional
61 años,Mujeres,319916,nacional
62 años,Mujeres,312230,nacional
63 años,Mujeres,304854,nacional
64 años,Mujeres,283877,nacional
65 años,Mujeres,275161,nacional
66 años,Mujeres,262725,nacional
67 años,Mujeres,261469,nacional
68 años,Mujeres,258450,nacional
69 años,Mujeres,242480,nacional
70 años,Mujeres,235717,nacional
71 años,Mujeres,244496,nacional
72 años,Mujeres,253851,nacional
73 años,Mujeres,230589,nacional
74 años,Mujeres,219527,nacional
75 años,Mujeres,227212,nacional
76 años,Mujeres,213406,nacional
77 años,Mujeres,207939,nacional
78 años,Mujeres,176093,nacional
79 años,Mujeres,159986,nacional
80 años,Mujeres,193413,nacional
81 años,Mujeres,126277,nacional
82 años,Mujeres,139031,nacional
83 años,Mujeres,150860,nacional
84 años,Mujeres,159249,nacional
85 años,Mujeres,146195,nacional
86 años,Mujeres,136925,nacional
87 años,Mujeres,129527,nacional
88 años,Mujeres,117881,nacional
89 años,Mujeres,99995,nacional
90 años,Mujeres,89652,nacional
91 años,Mujeres,73395,nacional
92 años,Mujeres,61240,nacional
93 años,Mujeres,47473,nacional
94 años,Mujeres,38466,nacional
95 años,Mujeres,28924,nacional
96 años,Mujeres,21844,nacional
97 años,Mujeres,15611,nacional
98 años,Mujeres,11339,nacional
99 años,Mujeres,7349,nacional
100 y más años,Mujeres,14036,nacional
0 años,Mujeres,6289,espana_rural
1 año,Mujeres,7072,espana_rural
